compound,CAS,SMILES,dose,dose.units,Cmax,Cmax.units,Cmax/dose,reference,original.reference,link,note
Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,2.857,mg/kg bw,6.28,mg/L,2.198,Gelal 2003,Gelal 2003,https://link.springer.com/article/10.1007%2Fs00228-003-0631-1,dosed without menthol (placebo) *mean bodyweight of 53.7 kg
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.089,mg/kg bw,0.007788,mg/L,0.087,Abd-Elbary2016,Abd-Elbary2016,https://www.sciencedirect.com/science/article/pii/S0928098715300592?via%3Dihub,tablets (buccal laminated sponges not included)
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.357,mg/kg bw,0.0724,mg/L,0.203,Phuong2004,Phuong2004,https://link.springer.com/content/pdf/10.1007%2FBF02975853.pdf,average from three different analytical methods
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.714,mg/kg bw,0.174,mg/L,0.244,Krämer1992,Krämer1992,https://link.springer.com/content/pdf/10.1007%2FBF02280760.pdf,hypertensive patients with chronic renal failure: creatinine clearance 4-25 ml/min (highest creatinine clearance groups excluded)
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.357,mg/kg bw,0.05384,mg/L,0.151,Do_Carmo_Borges2005,Do_Carmo_Borges2005,https://www.sciencedirect.com/science/article/pii/S1570023205004265?via%3Dihub,Coreg® from Roche Químicos e Farmacêuticos S.A standard reference formulation (test formulation excluded)
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.179,mg/kg bw,0.0467,mg/L,0.262,Gehr1999,Gehr1999,https://link.springer.com/content/pdf/10.1007%2Fs002280050628.pdf,controls (patients with chronic renal insufficiency excluded)
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.114,mg/kg bw,0.00693,mg/L,0.061,Kim2015,Kim2015,https://www.dovepress.com/dose-proportionality-and-pharmacokinetics-ofnbspcarvedilol-sustained-r-peer-reviewed-fulltext-article-DDDT,
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.229,mg/kg bw,0.01226,mg/L,0.054,Kim2015,Kim2015,https://www.dovepress.com/dose-proportionality-and-pharmacokinetics-ofnbspcarvedilol-sustained-r-peer-reviewed-fulltext-article-DDDT,
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.457,mg/kg bw,0.0226,mg/L,0.049,Kim2015,Kim2015,https://www.dovepress.com/dose-proportionality-and-pharmacokinetics-ofnbspcarvedilol-sustained-r-peer-reviewed-fulltext-article-DDDT,
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.914,mg/kg bw,0.04631,mg/L,0.051,Kim2015,Kim2015,https://www.dovepress.com/dose-proportionality-and-pharmacokinetics-ofnbspcarvedilol-sustained-r-peer-reviewed-fulltext-article-DDDT,
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,1.829,mg/kg bw,0.07704,mg/L,0.042,Kim2015,Kim2015,https://www.dovepress.com/dose-proportionality-and-pharmacokinetics-ofnbspcarvedilol-sustained-r-peer-reviewed-fulltext-article-DDDT,
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.09,mg/kg bw,0.0112,mg/L,0.124,Läer2002,Läer2002,https://www.sciencedirect.com/science/article/pii/S0002870302567612?via%3Dihub,healthy adults 24-37 years old (pediatric patients (congestive heart failure) excluded) 
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.143,mg/kg bw,0.00181,mg/L,0.013,Othman2007,Othman2007,https://link.springer.com/content/pdf/10.1208%2Faapsj0902023.pdf,"median value, controlled release tablets (median value, immediate release excluded)"
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.286,mg/kg bw,0.00376,mg/L,0.013,Othman2007,Othman2007,https://link.springer.com/content/pdf/10.1208%2Faapsj0902023.pdf,"median value, controlled release tablets (median value, immediate release excluded)"
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.571,mg/kg bw,0.00813,mg/L,0.014,Othman2007,Othman2007,https://link.springer.com/content/pdf/10.1208%2Faapsj0902023.pdf,"median value, controlled release tablets (median value, immediate release excluded)"
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,1.143,mg/kg bw,0.01787,mg/L,0.016,Othman2007,Othman2007,https://link.springer.com/content/pdf/10.1208%2Faapsj0902023.pdf,"median value, controlled release tablets (median value, immediate release excluded)"
Carvedilol,72956-09-3,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,0.286,mg/kg bw,0.04629,mg/L,0.162,Liu20109,Liu20109,https://www.ncbi.nlm.nih.gov/pubmed/19545060,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.714,mg/kg bw,0.009,mg/L,0.013,Midha1990,Midha1990,https://www.sciencedirect.com/science/article/abs/pii/S0022354915481870,"refernce formulation (sugar coated), GCMS data, test formulation excluded"
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.357,mg/kg bw,0.00431,mg/L,0.012,Yeung1993,Yeung1993,https://link.springer.com/content/pdf/10.1007%2FBF00315316.pdf,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.714,mg/kg bw,0.0119,mg/L,0.017,Yeung1993,Yeung1993,https://link.springer.com/content/pdf/10.1007%2FBF00315316.pdf,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1.429,mg/kg bw,0.0379,mg/L,0.027,Yeung1993,Yeung1993,https://link.springer.com/content/pdf/10.1007%2FBF00315316.pdf,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1.429,mg/kg bw,0.04975,mg/L,0.035,Borges2011,Borges2011,https://www.sciencedirect.com/science/article/pii/S1570023211006854?via%3Dihub,reference formulation (test formulation excluded)
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.714,mg/kg bw,0.00888,mg/L,0.012,Midha1989,Midha1989,https://www.ncbi.nlm.nih.gov/pubmed/2708554,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,0.7,mg/kg bw,0.0151,mg/L,0.022,DellaCorte1993,DellaCorte1993,https://www.ncbi.nlm.nih.gov/pubmed/7903373,
Chlorpromazine,50-53-3,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,1.071,mg/kg bw,0.0071,mg/L,0.007,Pantuck1982,Pantuck1982,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/clpt.1982.72?sid=nlm%3Apubmed,nonsmokers (smokers excluded)
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,0.179,mg/kg bw,0.0291,mg/L,0.163,DiSanto2009,DiSanto2009,https://link.springer.com/article/10.2165%2F00044011-200929080-00004,average fasted and fed
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,0.143,mg/kg bw,0.03824,mg/L,0.268,Dahl1994,Dahl1994,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-2125.1994.tb04242.x,
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,0.179,mg/kg bw,0.03203,mg/L,0.179,Hägg2000,Hägg2000,https://bpspubs.onlinelibrary.wiley.com/doi/epdf/10.1046/j.1365-2125.2000.00111.x,control  (with caffeine excluded)
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,0.143,mg/kg bw,0.0224,mg/L,0.157,Wang2013,Wang2013,https://accp1.onlinelibrary.wiley.com/doi/full/10.1177/0091270004266621,
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,1.429,mg/kg bw,0.14,mg/L,0.098,Ackenheil1989,Ackenheil1989,https://link.springer.com/content/pdf/10.1007%2FBF00442556.pdf,
Clozapine,5786-21-0,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=C1C=CC=C2,1.071,mg/kg bw,0.104,mg/L,0.097,Choc1990,Choc1990,https://www.ncbi.nlm.nih.gov/pubmed/2194198,have a PDF from the library should you need it 
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0186,mg/L,0.026,Madani2002,Madani2002,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1177/009127002762491299,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0155,mg/L,0.022,Krauwinkel2014,Krauwinkel2014,https://link.springer.com/article/10.1007%2Fs13318-013-0133-1,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0218,mg/L,0.031,Harris2007,Harris2007,https://link.springer.com/article/10.1007%2Fs00228-006-0129-8,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0196,mg/L,0.027,Hynes2014,Hynes2014,https://onlinelibrary.wiley.com/doi/full/10.1002/bdd.1922,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0214,mg/L,0.03,Nichols2013,Nichols2013,https://accp1.onlinelibrary.wiley.com/doi/full/10.1177/0091270008326716,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0147,mg/L,0.021,Patroneva2008,Patroneva2008,http://dmd.aspetjournals.org/content/dmd/36/12/2484.full.pdf,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.429,mg/kg bw,0.0405,mg/L,0.028,Spina1995,Spina1995,https://link.springer.com/content/pdf/10.1007%2FBF02246212.pdf,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.429,mg/kg bw,0.0285,mg/L,0.02,Spina1996,Spina1996,https://journals.lww.com/drug-monitoring/Fulltext/1996/02000/Phenobarbital_Induces_the_2_Hydroxylation_of.10.aspx,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.429,mg/kg bw,0.043,mg/L,0.03,Laine2004,Laine2004,https://link.springer.com/article/10.1007%2Fs00228-003-0714-z,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.714,mg/kg bw,0.0115,mg/L,0.016,DeVane1981,DeVane1981,https://link.springer.com/content/pdf/10.1007%2FBF00558386.pdf,
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,1.071,mg/kg bw,0.0307,mg/L,0.029,Weiner1981,Weiner1981,https://www.sciencedirect.com/science/article/abs/pii/S0022354915438675,"in the table they give ng/hr as unit for cmax, which is probably a typo; in the text they say ng/ml \"
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,2.143,mg/kg bw,0.0609,mg/L,0.028,Weiner1981,Weiner1981,https://www.sciencedirect.com/science/article/abs/pii/S0022354915438675,"in the table they give ng/hr as unit for cmax, which is probably a typo; in the text they say ng/ml "
Desipramine,50-47-5,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,0.744,mg/kg bw,0.02525,mg/L,0.034,Abernethy1985,Abernethy1985,http://jpet.aspetjournals.org/content/jpet/232/1/183.full.pdf,age and gener combined
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.857,mg/kg bw,0.0052,mg/L,0.006,Silvasti1987,Silvasti1987,https://www.ncbi.nlm.nih.gov/pubmed/3679620,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.857,mg/kg bw,0.0053,mg/L,0.006,Silvasti1987,Silvasti1987,https://www.ncbi.nlm.nih.gov/pubmed/3679620,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.857,mg/kg bw,0.0058,mg/L,0.007,Silvasti1987,Silvasti1987,https://www.ncbi.nlm.nih.gov/pubmed/3679620,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.429,mg/kg bw,0.0025,mg/L,0.006,Nyunt2008,Nyunt2008,"https://journals.lww.com/jaids/fulltext/2008/04150/Pharmacokinetic_Effect_of_AMD070,_an_Oral_CXCR4.5.aspx#pdf-link",median values
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.429,mg/kg bw,0.0019,mg/L,0.004,Wang2018,Wang2018,https://accp1.onlinelibrary.wiley.com/doi/epdf/10.1002/jcph.1114,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.429,mg/kg bw,0.000772,mg/L,0.002,Eichhold1997,Eichhold1997,https://reader.elsevier.com/reader/sd/pii/S0378434797003083?token=EA94EBBA5C1BC18685957C91890F7B2C8CA8B8B450BDF46BBF7F17BFC3D0189F09D2B8B74580F9732059A22A5E25A87C,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.429,mg/kg bw,0.00311,mg/L,0.007,Wang2019,Wang2019,https://link.springer.com/content/pdf/10.1007%2Fs00520-018-4331-x.pdf,
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.214,mg/kg bw,0.000453,mg/L,0.002,Qiu2016,Qiu2016,https://link.springer.com/article/10.1007%2Fs00228-016-2048-7,dextromethorphan hydrobromide CYP2D6*1/*1 genotype
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.214,mg/kg bw,0.0015,mg/L,0.007,Qiu2016,Qiu2016,https://link.springer.com/article/10.1007%2Fs00228-016-2048-7,dextromethorphan hydrobromide CYP2D6*1/*10 genotype
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.214,mg/kg bw,0.00511,mg/L,0.024,Qiu2016,Qiu2016,https://link.springer.com/article/10.1007%2Fs00228-016-2048-7,dextromethorphan hydrobromide CYP2D6*10/*10 genotype
Dextromethorphan,125-71-3,[H]C12CC3=C(C=C(OC)C=C3)C3(CCCCC13)CCN2C,0.429,mg/kg bw,0.00142,mg/L,0.003,Donato2012,Donato2012,https://www.sciencedirect.com/science/article/pii/S157002321200270X?via%3Dihub,dextromethorphan hydrobromide 
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.331,mg/L,2.317,Dhillon1982,Dhillon1982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1402110/pdf/brjclinpharm00197-0123.pdf,calculated the average of the AUC of 6 volunteers myself... 
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.201,mg/L,2.814,Watanabe1990,Watanabe1990,https://www.jstage.jst.go.jp/article/jscpt1970/21/3/21_3_579/_pdf/-char/en,"ingested in the morning *they call it 'mean total diazepam levels' and it's not clear if N-desmethyldiazepam is included in it. Based on the figure, and if so, then it can only be a 5-10% difference, so it's not far off (on the figure of single administration it says diazepam in plasma and the cmax is about 190-ish, while they report 201...)"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.164,mg/L,2.296,Watanabe1990,Watanabe1990,https://www.jstage.jst.go.jp/article/jscpt1970/21/3/21_3_579/_pdf/-char/en,"ingested in the evening *they call it 'mean total diazepam levels' and it's not clear if N-desmethyldiazepam is included in it. Based on the figure, and if so, then it can only be a 5-10% difference, so it's not far off (on the figure of single administration it says diazepam in plasma and the cmax is about 190-ish, while they report 201...)"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.109,mg/L,1.526,Yamazaki2007,Yamazaki2007,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2710.2007.00795.x,fasted
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.107,mg/L,1.498,Yamazaki2007,Yamazaki2007,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2710.2007.00795.x,fed
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.5,mg/kg bw,0.59,mg/L,1.18,Minagawa1985,Minagawa1985,https://www.jstage.jst.go.jp/article/ojjscn1969/17/2/17_2_162/_pdf/-char/ja,infants aged 5-24 months *info from abstract and w/ google translate...
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.211,mg/L,2.954,Watanabe1987,Watanabe1987,https://www.jstage.jst.go.jp/article/jscpt1970/18/3/18_3_545/_pdf/-char/en,
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.286,mg/kg bw,1.019,mg/L,3.563,Ellinwood1985,Ellinwood1985,https://link.springer.com/content/pdf/10.1007/BF00427897.pdf,average bodyweight 73.9 kg
Diazepam,846-49-1,OC1N=C(C2=CC=CC=C2Cl)C2=CC(Cl)=CC=C2NC1=O,0.071,mg/kg bw,0.187,mg/L,2.618,Mineshita1988,Mineshita1988,https://www.jstage.jst.go.jp/article/jscpt1970/19/3/19_3_591/_pdf/-char/ja,young 
Diazepam,846-49-1,OC1N=C(C2=CC=CC=C2Cl)C2=CC(Cl)=CC=C2NC1=O,0.071,mg/kg bw,0.1633,mg/L,2.286,Mineshita1988,Mineshita1988,https://www.jstage.jst.go.jp/article/jscpt1970/19/3/19_3_591/_pdf/-char/ja,elderly
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.178,mg/L,2.492,Luurila1996,Luurila1996,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1600-0773.1996.tb00191.x,
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.447,mg/L,3.129,Kumana1987,Kumana1987,https://link.springer.com/content/pdf/10.1007/BF00542199.pdf,Chinese * average bodyweight 61.2 kg
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.432,mg/L,3.024,Kumana1987,Kumana1987,https://link.springer.com/content/pdf/10.1007/BF00542199.pdf,White Caucasians * average bodyweight 78 kg
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.2211,mg/L,3.095,Greenblatt1978,Greenblatt1978,https://link.springer.com/content/pdf/10.1007/BF00426888.pdf,"controls, also data available for subjects who consumed a 'cocktail' 1.5 ounces of 80-proof vodka plus 4 ounces of orange juice plus ice (it's called a screwdriver)"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.1159,mg/L,1.623,Ozdemir1998,Ozdemir1998,https://link.springer.com/content/pdf/10.1007/BF03189827.pdf,"controls, also data available w/ grapefruit juice"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.166,mg/L,2.324,Divoll1981,Divoll1981,https://www.karger.com/Article/Abstract/137498,data from abstract 
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.131,mg/L,1.834,Saari2007,Saari2007,https://link.springer.com/article/10.1007/s00228-007-0350-0?shared-article-renderer#Tab1,
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.3342,mg/L,2.339,Zuo2010,Zuo2010,https://link.springer.com/article/10.1007/s00228-010-0795-4?shared-article-renderer#Tab2,average bodyweight 64.1 kg
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.209,mg/L,1.463,Korttila1975,Korttila1975,https://reader.elsevier.com/reader/sd/pii/S0007091217476409?token=8FA0C08DE9CE6E49596F62BB2A7B7F007D74D3AF25A801C61BCBEF77C672304F229C0BA9D9AF14F7D774ABF26C562131,
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.3686,mg/L,2.58,Bateman1986,Bateman1986,https://link.springer.com/content/pdf/10.1007/BF00614304.pdf,
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.247,mg/L,1.729,Locniskar1989,Locniskar1989,https://onlinelibrary.wiley.com/doi/pdf/10.1002/bdd.2510100609,NeoCalme * info from abstract
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.143,mg/kg bw,0.394,mg/L,2.758,Locniskar1989,Locniskar1989,https://onlinelibrary.wiley.com/doi/pdf/10.1002/bdd.2510100609,Valium * info from abstract
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.214,mg/kg bw,0.279,mg/L,1.302,Locniskar1984,Locniskar1984,https://www.ncbi.nlm.nih.gov/pubmed/6747022,"ten subjects, average bodyweight 68.1 kg *have PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.214,mg/kg bw,0.222,mg/L,1.036,Locniskar1984,Locniskar1984,https://www.ncbi.nlm.nih.gov/pubmed/6747022,"fasting, eleven subjects, average bodyweight 64.1 kg *have PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.214,mg/kg bw,0.301,mg/L,1.405,Locniskar1984,Locniskar1984,https://www.ncbi.nlm.nih.gov/pubmed/6747022,"fed, eleven subjects, average bodyweight 64.1 kg *have PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.214,mg/kg bw,0.244,mg/L,1.139,Locniskar1984,Locniskar1984,https://www.ncbi.nlm.nih.gov/pubmed/6747022,"eleven subjects, average bodyweight 70.9 kg *have PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.25,mg/L,3.5,Nakano1984,Nakano1984,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/clpt.1984.174?sid=nlm%3Apubmed,morning
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.165,mg/L,2.31,Nakano1984,Nakano1984,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/clpt.1984.174?sid=nlm%3Apubmed,evening
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.1993,mg/L,2.79,Greenblatt1978,Greenblatt1978,https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1002/cpt1978245600,control (also data with antacid available) * have the PDF
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.2882,mg/L,4.035,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation A, subjects with high gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.2327,mg/L,3.258,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation A, subjects with low gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.1675,mg/L,2.345,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation B, subjects with high gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.099,mg/L,1.386,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation B, subjects with low gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.2335,mg/L,3.269,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation C, subjects with high gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.1141,mg/L,1.597,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation C, subjects with low gastric acidity * have the PDF"
Diazepam,439-14-5,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,0.071,mg/kg bw,0.2072,mg/L,2.901,Ogata1982a,Ogata1982a,https://www.ncbi.nlm.nih.gov/pubmed/7076346,"* see study below (also Ogata 1982) * Formulation D, subjects with high gastric acidity * have the PDF"
